ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;AM;ÓLEO COMBUSTÍVEL;1301852;IRANDUBA;1957135
1990;REGIÃO NORTE;AM;ÓLEO COMBUSTÍVEL;1302603;MANAUS;188322989
1990;REGIÃO NORTE;AM;ÓLEO COMBUSTÍVEL;1303536;PRESIDENTE FIGUEIREDO;9686
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1500503;ALMEIRIM;62499137
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1500800;ANANINDEUA;1276553
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1501303;BARCARENA;9455175
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1501402;BELEM;5386560
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1502202;CAPANEMA;56543048
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1503507;IRITUIA;74360
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1503804;JACUNDA;21220
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1505304;ORIXIMINA;42524767
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1506138;REDENCAO;416650
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1506807;SANTAREM;370848
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1507607;SAO MIGUEL DO GUAMA;42242
1990;REGIÃO NORTE;PA;ÓLEO COMBUSTÍVEL;1508100;TUCURUI;102180
1990;REGIÃO NORTE;AP;ÓLEO COMBUSTÍVEL;1600303;MACAPA;158270
1990;REGIÃO NORTE;TO;ÓLEO COMBUSTÍVEL;1702109;ARAGUAINA;58840
1990;REGIÃO NORTE;TO;ÓLEO COMBUSTÍVEL;1709500;GURUPI;559300
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2100055;ACAILANDIA;32160
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2100204;ALCANTARA;366801
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2100907;ARAIOSES;162620
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2101202;BACABAL;73069
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2101400;BALSAS;30668
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2101608;BARRA DO CORDA;99701
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2103307;CODO;19835285
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2103406;COELHO NETO;3056554
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2105302;IMPERATRIZ;149553
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2105500;JOAO LISBOA;399240
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2107506;PACO DO LUMIAR;116763
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2109106;PRESIDENTE DUTRA;157960
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2109601;ROSARIO;132267
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2109908;SANTA INES;74172
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2110500;SAO BENTO;324133
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2110609;SAO BERNARDO;89478
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2111201;SAO JOSE DE RIBAMAR;196462
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2111300;SAO LUIS;100910665
1990;REGIÃO NORDESTE;MA;ÓLEO COMBUSTÍVEL;2112902;VITORIA DO MEARIM;41706
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2202307;CANTO DO BURITI;124328
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2203909;FLORIANO;26419
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2207009;OEIRAS;13121
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2207702;PARNAIBA;522270
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2208007;PICOS;13775
1990;REGIÃO NORDESTE;PI;ÓLEO COMBUSTÍVEL;2211001;TERESINA;2297705
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2301109;ARACATI;29684
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2301901;BARBALHA;820633
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2302800;CANINDE;114187
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2303709;CAUCAIA;418271
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2304004;COREAU;98833
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2304202;CRATO;1753675
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2304285;EUSEBIO;59296
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2304400;FORTALEZA;5651780
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2305357;ICAPUI;86024
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2305506;IGUATU;156175
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2307304;JUAZEIRO DO NORTE;159007
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2307718;MARACANAU;4128089
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2308401;MISSAO VELHA;13916
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2309508;OROS;28424
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2309706;PACATUBA;673376
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2311801;RUSSAS;362323
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2312700;SENADOR POMPEU;52222
1990;REGIÃO NORDESTE;CE;ÓLEO COMBUSTÍVEL;2312908;SOBRAL;40474076
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2403251;PARNAMIRIM;172670
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2404408;GROSSOS;288007
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2407104;MACAIBA;88600
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2407203;MACAU;55956
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2407500;MAXARANGUAPE;463850
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2408003;MOSSORO;2483062
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2408102;NATAL;1049879
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2410306;PRESIDENTE JUSCELINO;246160
1990;REGIÃO NORDESTE;RN;ÓLEO COMBUSTÍVEL;2412005;SAO GONCALO DO AMARANT;3097271
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2500601;ALHANDRA;521220
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2501807;BAYEUX;53630
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2503001;CAAPORA;45734920
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2503209;CABEDELO;288660
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2504009;CAMPINA GRANDE;3591410
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2504603;CONDE;3288344
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2507507;JOAO PESSOA;44341765
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2510808;PATOS;83130
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2512101;POMBAL;89998
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2512507;QUEIMADAS;214190
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2512903;RIO TINTO;738020
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2513703;SANTA RITA;1486001
1990;REGIÃO NORDESTE;PB;ÓLEO COMBUSTÍVEL;2515302;SAPE;12440
1990;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2601102;ARARIPINA;1506179
1990;REGIÃO NORDESTE;PE;ÓLEO COMBUSTÍVEL;2601409;BARREIROS;75190
